Title,Themes/key words,Function/Emotion,Writer,Source,Year,I deal Key(s)*,Tempo,Time,Range,Structure,Style,Difficulty (vocal),Addressed to,I/we,Driver
Just as I am,"Mercy, sin, atonement, cleansing",D/R: Expression of trust in JesusŐs mercy,J Bargerbos,Exalt,2014,F#m/A,100,3/4/2017,11,VVCVCC,Uplifting,Moderate,God,I,PG
Merciful God,"Confession, forgiveness, cleansing, obedience","P: Confession, prayer",L Gordon,Exalt,2010,Bb,126,3/4/2017,11,VCVC,Reflective,Moderate,God,We,P
"One heart, one people","Unity, church, gathering",D: Expression of unity in gathering,L Gordon,Exalt,2016,"F,G",108,4/4/2017,6,VCVCBC,"Upbeat, opener",Easy,Each other,We,G
Onwards & Upwards,"Philippians, continuing in faith, evangelism",D: Encouraging each other to continue,L Gordon,Exalt,2007,"F,G",96,4/4/2017,8,VVCVVCBC,Upbeat,Easy,Each other,We,G
Waiting for the day,"Jesus return, faith and sight, meeting Jesus, trust","R: Expression of desire to meet Jesus, comfort",L Gordon,Exalt,2009,D,84,2/2/2017,9,VCVCBC,"Reflective, uplifting",Moderate,"God, each other",I/we,P
All I have is Christ,"Sin, faith atonement, obedience",D/R: Expression of faith and obedience,J Kauflin,SG,2008,C,76,3/4/2017,10,VCVCVC,Uplifting,Moderate,God,I,PG
Before the throne,"Grace, atonement, election, judgment, resurrection","D/R: Thankfulness for forgiveness, joy in assurance","Bancroft, Cook",SG,1997,"C, D",76,3/4/2017,12,VVV,Uplifting,Mod (range),All,I,PG
Behold our God,"God alone as creator, ruler and redeemer",D: Characteristics of God,"Baird, Altrogge",SG,2011,C,73,4/4/2017,8,VCVCVC(BC),"Slow, uplifting",Easy,"All, each other",We,PG
Come you saints,"Election, grace, salvation, heaven","D: Reason to gather, expression of unity",Baird,SG,2004,"E, F",64,6/8/2017,9,VVV,Opener,Easy,Each other,We,PG
I have a shelter,"Shelter, rest, peace, trials, refuge, weakness",D/R: Expression of dependence,"B Kauflin, Cook",SG,2008,C,76,3/4/2017,10,VVV,Reflective,Easy,Jesus,I,P
Jesus thank you,"Forgiveness, thanksgiving, grace",D/R: Thanksgiving for forgiveness,P Sczebel,SG,2003,G,130,4/4/2017,11,VCVCBC,Pledge,"Mod (rhythm, range)",Jesus,I,PG
Let your kingdom come,"Evangelism, kingdom, mission, grace",D/R: Prayer for action,B Kauflin,SG,2006,"F,G",120,4/4/2017,10,VCVCC,"Upbeat, inspiring","Mod (pitch, rhythm)",God,We,G
O Great God,"Sin, Spirit, gospel, obedience","R: Thanksgiving for salvation, prayer for obedience",B Kauflin,SG,2006,C,72,3/4/2017,10,VVV,Uplifting,Easy,God,I,P
Refuge,,,,,,,,,,,,,,,
Grace Alone,"Grace not works, election, new creation",D: Reminder of grace,Kensrue,MH,2013,D,144,4/4/2017,8,VCVCBC,Upbeat,Syncopated,God,I,G
Cornerstone,"Grace in present and future, darkness",D: Expression of trust in Jesus,Myrin et al,HS,2011,"C,D",72,4/4/2017,12/6/2017,VVCVCVC,Reflective,Moderate,All,I,PG
Desert song,"Trials, dryness, provision, refining, praise",D/R: Joy and worship despite trials,Ligertwood,HS,2008,D,120,4/4/2017,8,VVCVCBV,Moderate,Mod (rhythm),All,I,G
For all youŐve done,"Redemption, joy",D: Opener,Morgan,HS,2004,E,132,4/4/2017,8,VPCVPCPC,Upbeat,Mod (rhythm),God,I,G
Man of sorrows,"Cross, salvation, sacrifice, atonement, praise",D/R: Honour of JesusŐs sacrifice,"Ligertwood, Crocker",HS,2012,"Bb,B,C",80,4/4/2017,8,VVCVCBVC,Moving,Easy (not structure),All/God,I,PG
Mighty to save,"Forgiveness, surrender, salvation",D: General,"Morgan, Fielding",HS,2006,"F,G",76,4/4/2017,8,VCVCBC,"Moderate, builds",Mod (rhythm),Any,I,G
O praise the name,"Jesus death, resurrection and return",D: Praise and declaration of gospel,Sampson et al,HS,2015,G,72,4/4/2017,12,VVCVCVC,"Slow, builds","(rhythm, range)",All,I,PG
This I Believe,"Creation, gospel, trinity",D: Declaration of faith,"Crocker, Fielding",HS,2014,"F,G",76,4/4/2017,8,VCVCBCC,"Slow, builds",Mod (rhythm),God,I,PG
This is our God,"GodŐs love, dependence, worship, gospel","D/R: Prayer for help, worship, dependence",Morgan,HS,2008,E,76,4/4/2017,8,VCVCBC,Reflective,Mod (rhythm),God,I,PG
What the Lord has done in me,"Conversion, weakness, cleansing, declaration",D: Praise and declaration of gospel,Morgan,HS,1998,C,70,3/4/2017,10,VVCVVC,Slow,Easy,All,I,PG
Even So Come,"Return of Jesus, church as bride, ready and waiting",D/R: Pledge to be ready for Jesus,Tomlin et al,WT,2015,D,54,6/8/2017,11,VVCVCBC,Uplifting,"(Rhythm, range)",All/God,We,G
Forever,"GodŐs love, thanks, praise",D: Praise for GodŐs love and salvation,Tomlin,WT,2001,E,140,4/4/2017,8,VVCVCC,Upbeat,"Rhythm, scanning",Each other,We,G
How great is our God,"Characteristics of God: light, trinity, majesty, kingship",D: Expression of GodŐs character,"Tomlin, Reeves",WT,2004,G,80,4/4/2017,9,VCVCBC,"Reflective, uplifting",Rhythm,All,We,GP
Indescribable,Creation,D: Expresses awe of creator,"Reeves, Story",WT,2004,"D,E",60,6/8/2017,5,VCVCIC,Driving,Rhythm,God,We,G
Bless the Lord,"Worship, GodŐs goodness, eternity",D: Worship,"Myrin, Redman",WT,2011,D,80,4/4/2017,10,CVCVCVC,Uplifting,Range,"Self, God",I,PG
Blessed be your name,"Suffering, blessing, worship, faithfulness",D/R: Worship in blessings and suffering,Redman,ThankYou,2002,G,116,4/4/2017,10,VVCVVCBC,Uplifting,"Rhythm, range",God,I,G
Here I am to worship,"God exalted and humbled in Jesus, cross",D: Worship of exalted and humbled God,Hughes,Thank You,2000,E,80,4/4/2017,8,VCVCBC,"Reflective, uplifting",Easy,God,I,PG
This is amazing grace,"King, grace, praise",D: Praise,"Wickham, Riddle",Bethel,2012,"E, F",108,4/4/2017,6,VVCVVCBC,Upbeat relaxed,Rhythm,God,I,G
Only a holy God,"Holy God, majesty, glory, power, Father",D/R: Worship of holy and personal God,Smith et al,City Alight,2016,D,150/50,3/4/2017,9,VVCVCVC,Reflective,Easy,All,I/we,PG
Christ is mine forevermore,"Walking with Christ, guidance, suffering, reward","R: Comfort, assurance in walk with Christ","Robinson, Thompson",City Alight,2016,Bb,72,3/4/2017,9,VVVB,Modern hymn,Easy,All,I,P
Ancient of Days,"Kingdom, worship of whole earth",D: Declaration of worship,"Sadler, Harvill",Integrity,1992,Bb,88,4/4/2017,10,VCVCBC,Upbeat retro,Range,God,We,G
He is exalted,"King, praise, truth, rejoice",D: Simple expression of worship,Paris,,1985,"D,E",150/50,6/8/2017,9,VC,Retro,Easy,All,I,PG
Awesome God,"God reigns with wisdom, power, love",D/R: Good add-on to another song,Mullins,,1988,"E,F,G",66,4/4/2017,6,C,Simple,Easy,Each other,We,PG
The Servant King,"Jesus servant, cross, love, respond in obedience, serving others","R: Thankfulness, obedience, serving others",Kendrick,Thankyou,1983,Eb,65,4/4/2017,9,VC x4,Retro,Moderate,"God, others","I, we",P/G
God of Wonders,"Creation, holy God",D: Worship of creator,"Byrd, Hindalong",,2000,"F,G",82,4/4/2017,6,VCVC,Relaxed,Rhythm,God,We,G
The steadfast love,"Love, mercies, faithfulness",D/R: Good add-on to another song,McNeill,,1974,"D,E",80,4/4/2017,9,C,Reflective,Easy,All,I/we,PG
Turn your eyes upon Jesus,JesusŐs glory and grace,D/P: Good add-on to another song or prep,Lemmel,New Spring,1922,"C,D,Eb",84,3/4/2017,6,C,Reflective,Easy,All,I/we,PG
Revelation song,"Holy God, powerful, Jesus as King (Revelation 4,5)",D: Praise of all powerful God and Lamb,Riddle,Gateway,2004,"C,D",64,4/4/2017,8,VVC,Builds,Verses donŐt scan,All/God,I,PG
Salvation belongs to our God,"Salvation, praise, glory, redeemed, unity","D: Praise, unity","Howard, Turner",,1985,"F,G",,4/4/2017,8,VCVC,Retro,Rhythm,Each other,We,PG
